conversation_id,speaker,BC,FP,SR,OR,speech_minutes,BC_per_min_speech,FP_per_min_speech,SR_per_min_speech,OR_per_min_speech
BOC1002,BO087,34,10,7,4,8.973,3.7891452134180317,1.1144544745347151,0.7801181321743006,0.44578178981388605
BOC1002,BO089,70,120,12,1,9.551066666666667,7.329024332360783,12.564041712618485,1.2564041712618486,0.10470034760515404
BOC1003,BO087,23,12,3,0,5.531116666666667,4.1582923279506545,2.1695438232786026,0.5423859558196507,0.0
BOC1003,BO090,42,57,35,1,13.131216666666667,3.1984850350246803,4.340801118962066,2.6654041958539003,0.07615440559582572
BOC1005,BO104,20,19,5,8,6.051566666666667,3.3049293020540134,3.139682836951313,0.8262323255135033,1.3219717208216053
BOC1005,BO105,38,92,24,1,10.9223,3.479120698021479,8.423134321525685,2.197339388224092,0.0915558078426705
BOC1007,BO104,21,19,3,2,5.5095,3.811598148652328,3.44858880116163,0.5445140212360469,0.3630093474906979
BOC1007,BO144,25,120,18,0,11.127983333333333,2.246588555278809,10.783625065338285,1.6175437598007427,0.0
KPC004,PKP027,50,17,10,0,6.470166666666667,7.7277762036011435,2.627443909224389,1.5455552407202287,0.0
KPC004,PKP028,27,13,14,4,8.823633333333333,3.059963960424466,1.4733159809451133,1.5866479794793529,0.45332799413695796
KPN017,PKP057,37,11,6,0,7.2644166666666665,5.09332017941335,1.5142303236093746,0.8259438128778406,0.0
KPN017,PKP061,52,16,2,0,6.32465,8.221798834718127,2.5297842568363467,0.31622303210454333,0.0
KPN027,PKP115,24,25,5,1,12.606466666666666,1.9037848300078797,1.9831091979248747,0.39662183958497493,0.07932436791699499
KPN027,PKP116,92,0,0,2,3.1975333333333333,28.772178554302275,0.0,0.0,0.625482142484832
KPS023,PKP125,70,13,1,0,3.31945,21.087830815345917,3.91631143713567,0.3012547259335131,0.0
KPS023,PKP130,44,48,4,1,10.599166666666667,4.151269753911471,4.528657913357968,0.37738815944649734,0.09434703986162433
KPS024,PKP125,30,13,1,0,6.8381,4.387183574384697,1.901112882233369,0.1462394524794899,0.0
KPS024,PKP131,27,6,1,2,5.50935,4.900759617740749,1.0890576928312776,0.1815096154718796,0.3630192309437592
PBA014,BOI076,13,50,4,0,11.562333333333333,1.1243405310346817,4.324386657825698,0.34595093262605586,0.0
PBA014,BOR019,89,27,1,0,3.8505,23.11388131411505,7.012076353720296,0.25970653161927026,0.0
PBB010,BOI030,19,50,2,0,12.7645,1.4885032707900818,3.9171138705002155,0.15668455482000862,0.0
PBB010,BOR007,179,28,1,0,5.547666666666666,32.26581746079433,5.047166977107493,0.18025596346812475,0.0
PBB019,BOI057,35,39,5,0,13.5544,2.582187334002243,2.8772944578882136,0.36888390485746325,0.0
PBB019,BOR009,39,9,0,0,4.1518,9.393516065321066,2.1677344766125537,0.0,0.0
PBB024,BOI091,5,98,3,0,12.990616666666666,0.3848931985522884,7.543906691624852,0.23093591913137304,0.0
PBB024,BOR030,36,11,1,0,3.7945333333333333,9.487332653993464,2.8989071998313363,0.2635370181664851,0.0
PBB029,BOI101,9,42,7,0,14.89275,0.6043208943949238,2.8201641738429775,0.4700273623071629,0.0
PBB029,BOR036,83,13,3,0,3.4896666666666665,23.784506638647436,3.7252841723182732,0.8596809628426785,0.0
PBC017,BOI042,12,22,9,0,16.588916666666666,0.7233745422395476,1.3261866607725037,0.5425309066796606,0.0
PBC017,BOR009,53,2,0,0,2.2250666666666667,23.819511025886865,0.898849472674976,0.0,0.0
PTA016,TOI033,24,32,3,0,12.729616666666667,1.8853670639466755,2.5138227519289007,0.23567088299333444,0.0
PTA016,TOR006,159,18,0,0,6.760383333333333,23.519376366724767,2.6625709094405394,0.0,0.0
PTA018,TOI031,16,20,4,0,11.344666666666667,1.4103543515308221,1.7629429394135276,0.35258858788270553,0.0
PTA018,TOR006,52,3,1,0,5.165866666666667,10.066074747057607,0.5807350815610158,0.1935783605203386,0.0
PTB007,TOI021,23,64,10,0,15.7779,1.4577351865584138,4.056306606075586,0.6337979071993104,0.0
PTB007,TOR004,42,7,1,0,2.6315333333333335,15.960276644795176,2.660046107465863,0.3800065867808375,0.0
PTD003,TOI048,38,56,2,0,14.078333333333333,2.6991831419438856,3.9777435776015153,0.14206227062862556,0.0
PTD003,TOR001,99,15,0,0,6.093966666666667,16.245576225665822,2.4614509432827005,0.0,0.0
PTD020,TOI008,19,75,4,0,13.0581,1.4550355717906893,5.7435614675948266,0.30632327827172406,0.0
PTD020,TOR001,172,18,0,0,5.347433333333333,32.16496387675084,3.3661008708227627,0.0,0.0
TOA1003,TO061,112,32,3,0,6.3357833333333335,17.677372174448305,5.050677764128087,0.4735010403870082,0.0
TOA1003,TO065,46,27,4,1,13.169466666666667,3.4929280861791416,2.0501969201486268,0.3037328770590558,0.07593321926476394
TOA1003,TO071,0,1,0,0,0.14858333333333335,0.0,6.730229949523275,0.0,0.0
TOA1005,TO075,29,34,1,0,13.147166666666667,2.205798461011878,2.586108540496685,0.07606201589696132,0.0
TOA1005,TO076,69,14,2,0,4.650383333333333,14.837486515448548,3.0105045103808648,0.43007207291155214,0.0
TOA3010,TO085,59,2,3,3,5.341033333333334,11.046551541212374,0.37445937427838555,0.5616890614175784,0.5616890614175784
TOA3010,TO086,18,11,1,1,7.819283333333333,2.302001249048826,1.4067785410853937,0.12788895828049032,0.12788895828049032
TOC1001,TO002,21,45,5,0,7.598516666666667,2.763697300569629,5.9222085012206325,0.6580231668022926,0.0
TOC1001,TO003,34,70,2,0,9.964766666666666,3.412021689753565,7.024750537727929,0.20070715822079796,0.0
TOC1002,TO006,32,16,4,0,10.146716666666666,3.153729531556185,1.5768647657780925,0.39421619144452313,0.0
TOC1002,TO007,26,74,5,0,6.080166666666667,4.276198569118171,12.170719004413256,0.8223458786765713,0.0
TOD2016,TO071,115,39,1,0,7.9495,14.466318636392227,4.905968928863451,0.12579407509906285,0.0
